Anno,Tempo medio impiegato,Numero segnalazioni,Municipio
2013,81.5,10,municipio 1
2014,112.5911162,878,municipio 1
2015,236.5589198,1.222,municipio 1
2016,66.67989757,781,municipio 1
2017,37.27747253,364,municipio 1
2018,21.67105263,76,municipio 1
2019,24.32666667,150,municipio 1
2019,28.07619048,105,municipio 2
2018,20.75714286,70,municipio 2
2017,45.31578947,342,municipio 2
2016,106.3371266,703,municipio 2
2015,243.6582734,1.112,municipio 2
2014,116.0324006,679,municipio 2
2013,62.5,10,municipio 2
2019,35.63333333,30,municipio3
2018,22.95238095,21,municipio3
2017,46.86021505,93,municipio3
2016,76.44761905,210,municipio3
2015,203.4621212,264,municipio3
2014,135.7514451,173,municipio3
2013,99.25,4,municipio3
2019,56.85714286,21,municipio4
2018,22.4,10,municipio4
2017,48.81538462,65,municipio4
2016,63.41269841,126,municipio4
2015,258.7106599,197,municipio4
2014,94.79329609,179,municipio4
2013,87,1,municipio4
2019,48.38461539,13,municipio5
2018,38.71428571,7,municipio5
2017,42.71428571,28,municipio5
2016,92.27619048,105,municipio5
2015,240.9609375,128,municipio5
2014,191.0948905,137,municipio5
